,Brand,Model,Year,Overall Score,Road Test Score,Reliability Score,Owner Satisfaction,Warranty,Drivetrain Warranty,Corrosion Waranty,Roadside Aid,Free Maintenance,Acceleration Score,Zero To Sixty,Transmission Score,Fuel Economy Score,Overall Fuel Economy,City Fuel Economy,Highway Fuel Economy,Annual Fuel Cost,Braking Score,Emergency Handling Score,Ride Score,Noise Score,Front Seat Score,Rear Seat Score,Interior Finish Score,Trunk Score,Seats,Zero To Thirty,Fortyfive To Sixty,Quarter Mile,Quarter Speed,Routine Handling Score,Avoidance Max Speed,Wet Braking,Dry Braking,Headlights,Driving Position,Front Shoulder Room,Front Leg Room,Front Head Room,Rear Shoulder Room,Rear Leg Room,Rear Head Room,Third Row Score,Third Shoulder Room,Third Leg Room,Third Head Room,Front Access,Rear Access,Third Access,Usability,Climate System,Fuel Capacity,Fuel Type,Forward Collision Warning,City Automatic Braking,Highway Automatic Braking,Pedestrian Detection,Lane Departure Warning,Lane Keep Assist,Blind Spot Warning,Rear Traffic Warning,Rear View Camera,Anti Lock Breaks,Traction Control,Stability Control,Daytime Running Lights,Side Airbags,Head Airbags,IIHS Moderate Overlap,IIHS Driver Overlap,IIHS Passenger Overlap,IIHS Side Crash,IIHS Rear Crash,IIHS Roof Crush,Length,Width,Height,Wheelbase,Turning Circle,Curb Weight,Max Load,Towing Capacity,Driving Satisfaction,Comfort Satisfaction,Value Satisfaction,Styling Satisfaction,Nameplate (Cleaned)
0,land-rover,range-rover-evoque,2020,45,58,1,3,"4 years/50,000 miles","4 years/50,000 miles",6 years/unlimited miles,"4 years/50,000 miles",,4,8.3,3,2,20,13,29,"1,690",5,2,3,4,4,3,5,2,"2 front, 3 rear",3.2,5.6,16.6,86,4,50,126,129,2,3,56.5,41.5,5.5,55,27,4.5,N,,,,4,3,N,2,5,17.7,Premium,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,172,79,65,106,39,4235,825,3700,,,,,rangeroverevoque
0,bmw,z4,2020,76,86,3,5,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",5,6.1,5,4,29,20,40,"1,165",5,4,1,2,5,N,5,2,2 front,2.7,4,14.6,101,5,56,111,122,2,3,54.5,42,3.5,,,,N,,,,2,N,N,3,5,13.7,Premium,Standard,Standard,Optional,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Optional,Standard front,Not offered,,,,,,,171,73,51,97,37,3290,465,,,,,,z4
0,tesla,model-s,2020,83,97,3,5,"4 years/50,000 miles",8 years/unlimited miles,12 years/unlimited miles,"4 years/50,000 miles",,5,5.1,5,5,102,101,102,A,5,4,4,5,4,3,4,5,"2 front, 3 rear",2.2,3.2,13.8,102,5,54,129,136,2,4,57,42,6,53,29,,N,,,,3,3,N,2,5,,Electric,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Acceptable,,Good,Good,Good,196,77,57,117,41,4595,890,,99,84,60,93,models
0,cadillac,xt6,2020,56,82,1,3,"4 years/50,000 miles","6 years/70,000 miles","4 years/50,000 miles","6 years/70,000 miles",1 year/1 visit,4,7.1,5,2,18,12,26,"1,625",4,3,4,5,4,4,4,3,"2 front, 3 rear, 2 third",3,5,15.6,93,4,51,134,137,1,3,57.5,42.5,6,56.5,29.5,4,1,54.5,27,2.5,5,4,1,4,5,21.7,Regular,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,199,77,69,113,41,4585,1320,4000,,,,,xt6
0,hyundai,kona-electric,2020,83,76,5,5,,,,,,4,6.6,5,5,120,132,108,A,4,3,3,4,4,3,3,2,"2 front, 3 rear",2.9,3.4,15.2,95,4,54,135,145,1,4,54.5,42,4,52,25,3,N,,,,4,3,N,3,4,,Electric,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,,,,,,,165,71,61,102,36,3745,860,,97,77,48,65,konaelectric
0,toyota,land-cruiser,2020,74,68,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",4,7.3,5,1,14,10,20,"2,000",3,2,4,4,5,4,5,4,"2 front, 3 rear, 3 third",2.8,4.6,15.7,92,3,46,140,158,3,4,61,41.5,3.5,60.5,31,4.5,1,56.5,25,1,3,3,1,4,5,24.6,Regular,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard with rollover,,,,,,,195,78,74,112,43,5855,1230,8200,,,,,landcruiser
0,land-rover,range-rover,2020,54,78,1,3,"4 years/50,000 miles","4 years/50,000 miles",6 years/unlimited miles,"4 years/50,000 miles",,4,6.7,5,1,17,12,21,"2,030",4,2,5,5,5,5,5,3,"2 front, 3 rear",2.7,4.2,15.1,96,3,49,137,144,3,5,60.5,42.5,5.5,59,29,4,N,,,,4,4,N,2,5,27.7,Premium,Standard,Standard,Optional,Standard,Standard,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,,,,,,,197,78,72,115,41,5300,960,7715,,,,,rangerover
0,honda,cr-v,2020,77,82,3,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,8.2,5,4,28,20,37,"1,035",4,3,3,4,4,5,4,3,"2 front, 3 rear",3.4,5.3,16.5,88,4,52,137,146,3,4,59,41.5,4,54.5,31,4.5,N,,,,5,5,N,4,5,14,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,182,73,67,105,38,3450,850,1500,75,67,69,77,crv
0,chevrolet,blazer,2020,68,83,2,5,,,,,,5,6.4,5,2,19,13,27,"1,485",5,4,4,4,4,4,4,3,"2 front, 3 rear",2.7,3.1,15,96,4,55,130,139,4,3,58,42.5,6.5,57.5,30,4.5,N,,,,4,4,N,5,5,21.7,Regular,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,,,Good,,,191,77,67,113,40,4235,1705,4500,90,84,58,94,blazer
0,audi,a3,2020,72,77,4,3,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,4,8.3,4,4,27,18,40,"1,230",5,4,3,3,4,2,4,2,"2 front, 3 rear",3.2,5.1,16.4,88,4,53,124,127,1,4,54.5,42,3,51.5,26,1,N,,,,4,3,N,3,5,13.2,Premium,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,Good,Good,Good,Good,Good,Good,175,70,56,104,37,3135,1100,,82,76,51,79,a3
0,kia,sedona,2020,67,70,3,3,"5 years/60,000 miles","10 years/100,000 miles","5 years/100,000 miles","5 years/60,000 miles",,4,8,5,2,20,13,28,"1,455",4,3,3,4,4,5,4,2,"2 front, 3 rear, 3 third",3.2,4.8,16.3,90,3,48,133,144,4,3,63,42.5,6.5,62.5,32,5,3,59,27.5,2,5,5,2,4,5,21.1,Regular,Optional,Optional,Optional,Optional,Optional,,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Acceptable,Good,Good,Good,201,78,69,121,38,4595,1325,3500,80,66,67,69,sedona
0,volkswagen,tiguan,2020,61,84,1,3,"4 years/50,000 miles","4 years/50,000 miles","7 years/100,000 miles","3 years/36,000 miles","2 years/20,000 miles",3,10.3,4,4,25,16,35,"1,165",4,3,4,4,4,5,4,3,"2 front, 3 rear, 2 third",4.1,6.5,17.9,83,4,52,131,135,4,4,56,42.5,6,55,32,4,N,48,,,5,5,N,4,5,15.3,Regular,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard with rollover,Good,Good,Good,Good,Good,Good,185,72,66,110,39,3860,1215,1500,53,72,68,85,tiguan
0,chevrolet,tahoe,2020,68,67,3,4,,,,,,4,7.7,4,1,16,10,23,"1,815",4,1,3,5,4,4,4,4,"3 front, 3 rear, 3 third",2.8,4.9,15.9,90,2,45,136,140,4,4,64.5,43.5,4.5,64.5,30,4.5,1,63.5,27,,4,4,3,5,5,26,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,,,,,,,204,81,74,116,41,5635,1580,8300,80,80,57,82,tahoe
0,lexus,ls,2020,52,72,1,2,"4 years/50,000 miles","6 years/70,000 miles",6 years/unlimited miles,4 years/unlimited miles,"1 years/10,000 miles",5,6,5,2,20,12,32,"1,710",4,3,4,5,5,4,5,2,"2 front, 3 rear",2.4,4.3,14.4,103,4,52,136,139,4,4,57,43,2.5,54.5,33,2.5,N,,,,4,4,N,1,5,21.7,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,,,,,,,206,75,58,123,41,5170,870,,68,79,46,84,ls
0,cadillac,ct6,2020,70,95,2,3,"4 years/50,000 miles","6 years/70,000 miles","4 years/50,000 miles","6 years/70,000 miles",1 year/1 visit,4,6.5,5,3,22,14,34,"1,315",5,4,5,5,5,4,5,4,"2 front, 3 rear",2.5,4.4,14.9,98,5,52,125,143,4,4,57.5,44,4.5,55,31,3.5,N,,,,4,4,N,3,5,19.2,Regular,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,204,74,58,122,41,4040,910,1000,86,82,62,92,ct6
0,kia,niro-electric,2020,81,81,4,5,"5 years/60,000 miles","10 years/100,000 miles","5 years/100,000 miles","5 years/60,000 miles",,4,6.8,5,5,112,123,102,A,4,3,3,4,4,3,3,3,"2 front, 3 rear",3,3.4,15.3,95,4,53,135,137,3,4,55.5,42.5,3.5,52.5,29,3.5,N,,,,4,4,N,4,4,,Electric,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,172,71,62,106,36,3935,850,,80,72,52,68,niroelectric
0,mazda,cx-5,2020,84,80,5,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,3,8.6,4,3,24,17,33,"1,190",4,4,4,4,4,4,4,2,"2 front, 3 rear",3.1,5.4,16.6,85,4,54,133,144,4,3,56.5,42,4,54,27.5,4.5,N,,,,4,4,N,4,5,15.3,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,179,73,66,106,37,3590,850,2000,79,76,75,87,cx5
0,cadillac,escalade,2020,41,61,2,4,"4 years/50,000 miles","6 years/70,000 miles","4 years/50,000 miles","6 years/70,000 miles",1 year/1 visit,5,6.1,5,1,16,10,23,"1,855",3,2,3,5,5,4,5,4,"2 front, 3 rear, 3 third",2.2,4.7,14.5,98,2,45,142,157,5,3,64,43,4,64,30,4,1,63,27,,4,4,2,1,5,26,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,,,,,,,204,81,74,116,41,5820,1310,8100,,,,,escalade
0,audi,a4,2020,87,88,5,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,,5,6.3,5,4,27,18,40,"1,230",4,4,4,5,5,3,5,3,"2 front, 3 rear",2.7,4.1,14.9,98,5,54,135,145,1,4,53,43,3.5,55,27,2.5,N,,,,4,3,N,3,5,15.3,Premium,Standard,Standard,Optional,Standard,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & optional rear,Standard,Good,Good,Good,Good,Good,Good,186,73,56,111,40,3630,1060,,91,87,61,86,a4
0,volvo,s60,2020,63,71,2,4,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",4,7.3,4,4,26,17,39,"1,295",5,3,3,4,4,3,4,2,"2 front, 3 rear",3,3.4,15.5,95,4,54,125,139,3,4,55.5,42,3,53.5,28,2.5,N,,,,3,3,N,2,5,14.5,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,187,80,57,113,38,3740,890,2000,,,,,s60
0,toyota,corolla,2020,75,68,5,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",3,10.4,4,5,33,23,45,865,4,4,4,3,3,3,3,3,"2 front, 3 rear",4.5,6,18.1,83,4,53,134,143,2,4,54,42,2.5,53,29.5,1.5,N,,,,3,3,N,4,4,13.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,182,70,57,106,37,2960,825,,80,70,77,81,corolla
0,bmw,x1,2020,72,74,4,1,"4 years/50,000 miles","4 years/50,000 miles",12 years/unlimited miles,4 years/unlimited miles,"3 years/36,000 miles",4,7.9,5,4,26,17,37,"1,290",4,3,3,3,3,3,4,2,"2 front, 3 rear",3.5,4.6,16.3,92,4,53,134,143,3,4,55,40,4,55.5,26.5,3.5,N,,,,4,3,N,4,5,16.1,Premium,Standard,Standard,,Standard,Standard,,,,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,175,72,63,105,39,3725,900,,73,55,48,75,x1
0,mercedes-benz,glc,2020,72,79,3,2,"4 years/50,000 miles","4 years/50,000 miles","4 years/50,000 miles","4 years/50,000 miles",,4,6.8,5,3,22,15,31,"1,510",4,3,4,4,5,4,5,2,"2 front, 3 rear",2.7,4.8,15.4,93,4,50,132,143,3,4,57,44,4.5,55,27.5,4,N,,,,4,4,N,1,5,17.4,Premium,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,183,74,65,113,40,4010,950,4850,85,79,51,81,glc
0,land-rover,discovery-sport,2020,44,58,1,1,"4 years/50,000 miles","4 years/50,000 miles",6 years/unlimited miles,"4 years/50,000 miles",,3,8.6,2,3,21,14,28,"1,635",4,2,2,3,4,5,4,3,"2 front, 3 rear, 2 third",3.6,6.1,16.9,87,3,51,136,145,1,4,58.5,41,6.5,56,29.5,4.5,N,,,,5,4,N,3,5,17.7,Premium,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,181,82,68,108,39,4325,935,4410,,,,,discoverysport
0,toyota,mirai,2020,66,61,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,3 years/unlimited miles,"3 years/35,000 miles",3,9.3,5,5,67,67,67,A,3,2,4,4,4,3,4,2,"2 front, 2 rear",3.3,5.5,17.2,81,2,50,142,151,4,3,53.5,41,4,52,27,2,N,,,,4,4,N,3,5,5,Hydrogen,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,193,72,61,110,37,4100,690,,,,,,mirai
0,acura,ilx,2020,64,61,4,1,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,"4 years/50,000 miles",,4,7.5,4,4,28,18,42,"1,190",4,4,2,2,4,3,4,3,"2 front, 3 rear",3.1,5.4,15.9,92,3,55,132,139,3,4,55,41,2.5,50,27.5,1.5,N,,,,3,3,N,3,5,13.2,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,,Good,Good,Good,182,71,56,105,38,3095,850,,,,,,ilx
0,lexus,rx,2020,80,77,4,4,"4 years/50,000 miles","6 years/70,000 miles",6 years/unlimited miles,4 years/unlimited miles,"1 years/10,000 miles",4,7.5,5,3,22,14,31,"1,330",3,2,5,5,5,4,5,2,"2 front, 3 rear",2.9,5.6,15.8,92,3,49,139,152,4,4,57.5,42,3,56,30.5,5,N,,,,5,4,N,3,5,19.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard with rollover,Good,Good,Good,Good,Good,Good,193,75,68,110,40,4435,920,3500,77,85,59,80,rx
0,jaguar,e-pace,2020,55,69,2,2,"5 years/60,000 miles","5 years/60,000 miles",6 years/unlimited miles,"5 years/60,000 miles","5 years/60,000 miles",4,7.9,3,3,21,15,29,"1,595",5,4,3,4,4,4,4,1,"2 front, 3 rear",3.1,5.8,16.3,87,4,54,129,131,2,3,56,42.5,5.5,54,27,2.5,N,,,,4,4,N,3,5,18.1,Premium,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,,,,,,,173,82,65,106,39,4130,825,3970,,,,,epace
0,chevrolet,suburban,2020,64,74,3,4,,,,,,4,7.9,4,1,16,10,23,"1,855",3,2,4,5,4,4,4,5,"3 front, 3 rear, 3 third",2.9,5.3,16.2,89,2,47,139,148,3,4,64.5,43.5,4.5,64.5,30,5,3,64,27,4,4,4,3,5,5,26,Regular,Optional,Optional,Optional,,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,,,,,,,224,81,74,130,45,5945,1455,8000,76,81,58,86,suburban
0,kia,optima,2020,82,86,3,3,"5 years/60,000 miles","10 years/100,000 miles","5 years/100,000 miles","5 years/60,000 miles",,4,8,5,4,28,18,40,"1,045",5,3,4,4,5,5,4,4,"2 front, 3 rear",3.3,4.8,16.3,90,4,52,130,141,2,4,56.5,42,4,54.5,29.5,3.5,N,,,,4,4,N,5,5,18.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,191,73,58,110,37,3300,905,,71,69,75,80,optima
0,nissan,altima,2020,84,81,5,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,7.6,4,5,31,20,45,940,4,4,3,4,4,4,4,4,"2 front, 3 rear",3.1,4.5,15.9,92,3,54,131,140,3,4,57.5,41.5,3.5,54,29.5,2.5,N,,,,4,3,N,5,5,16.2,Regular,Standard,Standard,Standard,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Optional,Standard front,Standard,Good,Good,Good,Good,Good,Good,193,73,57,111,38,3240,900,,74,64,66,80,altima
0,toyota,tundra,2020,62,59,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",4,6.7,5,1,15,10,20,"1,970",1,2,2,4,4,3,3,5,"2 front, 3 rear",2.6,4.3,15.3,93,3,44,153,178,4,3,64.5,42.5,5.5,63,28.5,3.5,N,,,,3,3,N,4,4,26.4,Regular,Standard,Standard,Standard,Standard,Standard,,Optional,Optional,Standard,Standard,Standard,Standard,Optional,Standard front,Standard with rollover,Good,Marginal,Poor,Good,Good,Acceptable,229,80,76,146,49,5740,1395,10000,80,70,65,78,tundra
0,ford,explorer,2020,69,78,2,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,4,7.4,3,3,21,14,29,"1,395",4,3,3,4,4,4,4,4,"2 front, 3 rear, 2 third",3.1,4.8,16,89,4,52,136,139,3,4,61,42,5,61,28.5,3,1,49,25,3,4,4,1,4,5,17.9,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Acceptable,,Good,Good,Good,199,79,70,119,40,4565,1255,5600,,,,,explorer
